user_id,product_id,interaction_type,timestamp
984,420,view,2025-01-21 15:06:10
932,412,view,2025-02-06 15:06:10
326,137,cart,2024-12-28 15:06:10
573,250,view,2025-02-02 15:06:10
184,260,view,2025-01-15 15:06:10
409,69,cart,2025-03-06 15:06:10
265,271,cart,2025-03-07 15:06:10
736,328,purchase,2025-02-27 15:06:10
677,83,purchase,2024-12-21 15:06:10
313,92,view,2025-02-23 15:06:10
639,191,view,2024-12-25 15:06:10
522,107,purchase,2025-01-11 15:06:10
387,146,cart,2025-02-22 15:06:10
698,349,purchase,2024-12-25 15:06:10
487,266,purchase,2025-02-13 15:06:10
352,266,view,2025-02-19 15:06:10
50,215,view,2025-01-06 15:06:10
341,53,cart,2025-01-08 15:06:10
591,57,view,2025-03-07 15:06:10
147,172,view,2025-02-03 15:06:10
723,109,cart,2025-03-02 15:06:10
918,333,purchase,2024-12-18 15:06:10
798,172,purchase,2025-02-04 15:06:10
699,170,view,2025-01-10 15:06:10
189,120,purchase,2025-02-03 15:06:10
41,377,view,2025-01-08 15:06:10
886,335,view,2025-02-24 15:06:10
685,477,view,2025-03-09 15:06:10
210,496,purchase,2024-12-30 15:06:10
382,164,view,2025-02-02 15:06:10
5,34,cart,2025-01-02 15:06:10
465,348,purchase,2025-02-20 15:06:10
271,357,cart,2025-02-17 15:06:10
53,149,view,2025-01-07 15:06:10
219,113,view,2025-01-05 15:06:10
428,83,purchase,2025-02-28 15:06:10
527,404,view,2024-12-21 15:06:10
777,199,view,2025-01-10 15:06:10
419,397,view,2025-01-17 15:06:10
265,493,cart,2025-02-06 15:06:10
373,488,cart,2025-02-23 15:06:10
924,23,view,2025-03-07 15:06:10
873,204,view,2025-01-27 15:06:10
655,451,view,2024-12-16 15:06:10
500,110,cart,2025-01-11 15:06:10
691,63,purchase,2025-02-26 15:06:10
980,408,view,2025-01-16 15:06:10
31,6,view,2025-02-13 15:06:10
579,459,cart,2024-12-30 15:06:10
370,353,cart,2025-03-04 15:06:10
289,484,purchase,2025-03-02 15:06:10
953,300,purchase,2025-01-29 15:06:10
825,352,cart,2025-02-21 15:06:10
879,204,view,2025-01-13 15:06:10
435,21,cart,2025-03-08 15:06:10
73,449,purchase,2024-12-26 15:06:10
390,65,cart,2025-01-17 15:06:10
331,259,purchase,2025-03-08 15:06:10
6,191,view,2025-03-12 15:06:10
730,479,cart,2025-03-04 15:06:10
87,250,view,2025-02-12 15:06:10
128,78,view,2025-01-24 15:06:10
546,105,view,2025-02-20 15:06:10
287,391,cart,2025-02-26 15:06:10
788,299,view,2025-02-23 15:06:10
816,480,view,2025-03-03 15:06:10
975,413,view,2025-01-05 15:06:10
676,176,view,2025-01-29 15:06:10
963,352,cart,2024-12-18 15:06:10
654,447,view,2025-01-22 15:06:10
112,463,view,2025-02-27 15:06:10
577,344,view,2024-12-28 15:06:10
10,494,purchase,2025-03-03 15:06:10
630,144,cart,2024-12-26 15:06:10
915,415,cart,2025-01-20 15:06:10
999,246,view,2025-02-18 15:06:10
392,211,view,2025-02-12 15:06:10
570,86,view,2025-01-11 15:06:10
620,304,view,2025-03-06 15:06:10
385,476,view,2024-12-29 15:06:10
261,178,view,2025-02-24 15:06:10
340,412,view,2025-02-12 15:06:10
513,86,purchase,2025-01-04 15:06:10
31,198,cart,2024-12-15 15:06:10
349,383,purchase,2025-01-19 15:06:10
949,396,cart,2025-02-08 15:06:10
437,192,cart,2025-02-15 15:06:10
113,273,view,2025-01-23 15:06:10
936,382,cart,2025-02-25 15:06:10
189,306,view,2024-12-17 15:06:10
774,156,cart,2025-01-15 15:06:10
685,200,purchase,2025-02-13 15:06:10
663,111,view,2025-01-24 15:06:10
449,231,cart,2025-01-28 15:06:10
707,307,cart,2025-03-03 15:06:10
214,82,cart,2025-03-08 15:06:10
67,62,purchase,2025-02-14 15:06:10
512,211,view,2024-12-27 15:06:10
253,38,cart,2025-02-21 15:06:10
987,190,view,2025-02-04 15:06:10
305,203,cart,2024-12-23 15:06:10
760,295,view,2025-02-12 15:06:10
405,1,view,2025-03-06 15:06:10
581,30,view,2025-02-23 15:06:10
492,315,view,2024-12-25 15:06:10
36,311,view,2024-12-27 15:06:10
590,101,cart,2025-02-12 15:06:10
39,239,cart,2025-02-26 15:06:10
684,455,view,2025-02-15 15:06:10
45,253,view,2024-12-25 15:06:10
924,483,cart,2025-01-22 15:06:10
302,276,cart,2025-01-12 15:06:10
360,288,view,2025-02-03 15:06:10
916,338,view,2025-01-21 15:06:10
854,371,view,2024-12-19 15:06:10
66,232,view,2024-12-22 15:06:10
663,205,view,2025-03-05 15:06:10
881,135,cart,2025-01-08 15:06:10
514,132,view,2025-03-12 15:06:10
872,498,view,2025-02-28 15:06:10
660,89,purchase,2025-03-06 15:06:10
988,191,view,2024-12-17 15:06:10
416,8,view,2025-02-26 15:06:10
808,106,view,2025-02-24 15:06:10
35,113,cart,2025-01-10 15:06:10
53,347,purchase,2025-01-07 15:06:10
369,242,view,2025-01-09 15:06:10
869,361,purchase,2025-02-08 15:06:10
243,439,view,2025-02-25 15:06:10
78,206,view,2025-02-07 15:06:10
897,112,cart,2025-01-12 15:06:10
865,145,cart,2024-12-14 15:06:10
648,418,view,2025-01-14 15:06:10
155,272,view,2024-12-28 15:06:10
918,16,purchase,2024-12-20 15:06:10
691,129,view,2025-03-02 15:06:10
30,9,view,2025-01-19 15:06:10
677,193,view,2025-03-10 15:06:10
704,79,cart,2025-01-01 15:06:10
444,215,view,2025-02-11 15:06:10
103,111,view,2025-01-15 15:06:10
247,234,view,2025-02-20 15:06:10
387,335,purchase,2025-02-04 15:06:10
161,462,purchase,2025-02-16 15:06:10
648,50,view,2025-03-04 15:06:10
298,293,view,2025-03-02 15:06:10
468,49,view,2025-02-07 15:06:10
285,268,view,2025-01-29 15:06:10
706,258,view,2025-03-04 15:06:10
786,278,cart,2025-01-20 15:06:10
1,216,view,2024-12-15 15:06:10
484,254,purchase,2025-01-07 15:06:10
915,309,view,2025-02-20 15:06:10
23,244,view,2025-02-16 15:06:10
131,343,view,2025-02-02 15:06:10
121,295,view,2025-02-24 15:06:10
169,198,view,2025-02-27 15:06:10
37,186,view,2024-12-31 15:06:10
903,297,view,2025-01-11 15:06:10
922,324,view,2024-12-26 15:06:10
425,193,view,2025-02-18 15:06:10
923,263,view,2025-03-02 15:06:10
341,259,cart,2025-03-04 15:06:10
801,302,cart,2025-03-08 15:06:10
898,285,view,2025-01-12 15:06:10
452,251,view,2025-01-11 15:06:10
828,124,cart,2024-12-17 15:06:10
237,466,purchase,2025-01-08 15:06:10
246,448,view,2025-01-25 15:06:10
404,374,cart,2024-12-18 15:06:10
389,34,purchase,2024-12-23 15:06:10
830,344,purchase,2025-01-02 15:06:10
601,248,view,2025-01-23 15:06:10
797,330,cart,2025-02-03 15:06:10
393,101,view,2025-02-28 15:06:10
580,192,view,2025-02-28 15:06:10
940,226,view,2025-02-03 15:06:10
284,192,view,2025-03-05 15:06:10
156,250,purchase,2024-12-17 15:06:10
333,311,cart,2025-03-08 15:06:10
432,203,view,2025-01-06 15:06:10
220,253,cart,2025-01-13 15:06:10
717,298,view,2024-12-23 15:06:10
583,156,view,2024-12-23 15:06:10
783,292,cart,2024-12-29 15:06:10
56,351,cart,2025-01-21 15:06:10
475,394,view,2024-12-20 15:06:10
797,309,view,2025-01-16 15:06:10
178,21,cart,2025-03-04 15:06:10
233,332,purchase,2025-01-22 15:06:10
161,402,view,2025-01-09 15:06:10
533,385,purchase,2025-02-27 15:06:10
36,303,cart,2025-02-10 15:06:10
186,174,purchase,2025-02-03 15:06:10
279,171,view,2025-01-07 15:06:10
166,247,view,2025-01-06 15:06:10
999,71,view,2025-02-05 15:06:10
113,228,view,2025-02-26 15:06:10
496,31,view,2025-01-08 15:06:10
722,378,view,2025-01-30 15:06:10
696,15,purchase,2024-12-23 15:06:10
684,266,view,2025-03-06 15:06:10
941,34,cart,2025-01-22 15:06:10
758,490,purchase,2025-02-03 15:06:10
468,24,cart,2025-02-16 15:06:10
281,292,view,2025-01-15 15:06:10
495,12,cart,2025-01-23 15:06:10
921,208,view,2025-01-05 15:06:10
262,282,purchase,2025-01-18 15:06:10
423,9,cart,2025-02-28 15:06:10
624,55,view,2025-02-05 15:06:10
178,127,cart,2025-01-01 15:06:10
352,111,view,2025-02-23 15:06:10
221,314,view,2025-03-08 15:06:10
260,299,view,2025-03-11 15:06:10
897,492,view,2025-01-26 15:06:10
85,174,view,2025-01-02 15:06:10
209,248,cart,2025-03-11 15:06:10
926,291,view,2025-02-13 15:06:10
946,446,cart,2025-02-28 15:06:10
931,156,view,2024-12-14 15:06:10
903,167,cart,2025-02-07 15:06:10
242,495,view,2025-02-28 15:06:10
63,292,cart,2025-02-02 15:06:10
669,309,purchase,2025-01-01 15:06:10
271,369,cart,2025-01-09 15:06:10
516,75,view,2025-02-12 15:06:10
143,326,view,2025-02-26 15:06:10
111,360,view,2025-02-08 15:06:10
283,269,purchase,2024-12-31 15:06:10
197,243,view,2025-03-11 15:06:10
798,149,purchase,2025-02-10 15:06:10
426,485,cart,2025-02-10 15:06:10
867,86,cart,2025-01-09 15:06:10
118,414,view,2025-02-11 15:06:10
599,40,cart,2025-02-17 15:06:10
420,152,view,2025-02-03 15:06:10
558,461,view,2024-12-22 15:06:10
288,353,view,2025-02-26 15:06:10
528,18,view,2024-12-24 15:06:10
759,248,purchase,2025-03-13 15:06:10
702,381,purchase,2025-02-04 15:06:10
476,45,cart,2025-03-13 15:06:10
32,392,purchase,2025-01-17 15:06:10
191,235,cart,2024-12-30 15:06:10
623,103,view,2025-02-06 15:06:10
473,252,view,2025-01-16 15:06:10
330,339,view,2024-12-25 15:06:10
464,386,view,2025-01-23 15:06:10
285,223,view,2025-02-15 15:06:10
373,233,view,2025-02-11 15:06:10
917,316,view,2025-02-01 15:06:10
942,301,view,2025-01-22 15:06:10
420,52,purchase,2025-03-11 15:06:10
509,270,view,2025-03-13 15:06:10
185,145,view,2025-02-28 15:06:10
246,187,view,2025-02-02 15:06:10
601,125,view,2024-12-14 15:06:10
351,9,cart,2025-02-21 15:06:10
989,281,view,2025-01-29 15:06:10
25,393,view,2025-02-16 15:06:10
825,37,view,2024-12-28 15:06:10
664,282,purchase,2024-12-17 15:06:10
871,29,view,2025-02-22 15:06:10
471,491,purchase,2024-12-19 15:06:10
812,163,cart,2025-02-20 15:06:10
330,255,cart,2025-03-01 15:06:10
508,132,purchase,2025-02-19 15:06:10
609,98,view,2025-02-25 15:06:10
156,270,view,2024-12-29 15:06:10
697,205,view,2025-01-18 15:06:10
450,482,view,2025-02-05 15:06:10
964,204,view,2025-01-12 15:06:10
476,323,view,2025-01-21 15:06:10
786,181,view,2025-02-15 15:06:10
287,475,view,2025-03-08 15:06:10
523,162,view,2025-01-10 15:06:10
181,213,view,2025-02-21 15:06:10
275,260,view,2025-02-13 15:06:10
537,440,purchase,2025-01-10 15:06:10
923,444,view,2025-01-08 15:06:10
934,339,purchase,2025-02-02 15:06:10
849,21,view,2025-01-23 15:06:10
999,304,purchase,2025-01-24 15:06:10
196,364,cart,2025-03-10 15:06:10
757,449,cart,2024-12-31 15:06:10
705,336,purchase,2025-01-26 15:06:10
